"Qty";"Value";"Device";"Package";"Parts";"Description";"CATEGORY";"COLOR";"CREATED_BY";"DATASHEET";"DESCRIPTION";"DIELECTRIC";"DIGIKEY_PARTNO";"DISTRIBUTOR-LINK";"DISTRIBUTOR-PN";"LCSC";"MANUFACTURER";"MF";"MPN";"OPERATING_TEMP";"PACKAGE";"PACKAGE-IN";"PART_STATUS";"POWER";"ROHS_COMPLIANT";"SERIES";"SUB-CATEGORY";"SUB_CATEGORY";"THERMALLOSS";"TOLERANCE";"TYPE";"VALUE";"VOLTAGE";
"1";"";"150121M173000";"WL-SFCX_1210";"D12";"WL-SFCW SMD Full-color Chip LED Waterclear";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"QWIIC_CONNECTORJS-1MM";"1X04_1MM_RA";"J3, J4";"SMD Header 1MM 4Pin";"";"";"";"";"Header SMD 1MM 4Pin";"";"";"";"";"";"";"BOOMELE";"C145956";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"USB_C2-LAYER";"USB-C-16P";"J1";"USB Type C 16 Pin Connector";"";"";"";"";"USB Type C Female";"";"";"";"";"";"";"Jing Extension";"C167321";"";"USB-C 16P";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"100R";"100OHM-0603-1/10W-1%";"R0603";"R16, R18, R20, R22, R24, R26, R28, R30";"100Ω resistor";"";"";"";"";"Chip Resistor";"";"";"";"";"";"";"Yageo";"RC0603FR-07100RL";"";"1608";"0603";"";"0.1W";"";"";"";"";"";"1%";"";"100R";"75V";
"13";"100n";"100NF-0603-50V-5%";"C0603";"C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15";"100nF capacitor";"";"";"";"";"Chip Capacitor";"X7R";"";"";"";"";"";"Yageo";"CC0603JRX7R9BB104";"";"1606";"0603";"";"";"";"";"";"";"";"5%";"";"100n";"50V";
"8";"10k";"10KOHM-0603-1/10W-1%";"R0603";"R15, R17, R19, R21, R23, R25, R27, R29";"10kΩ resistor";"";"";"";"";"Chip Resistor";"";"";"";"";"";"";"Yageo";"RC0603FR-0710KL";"";"1608";"0603";"";"0.1W";"";"";"";"";"";"1%";"";"10k";"75V";
"15";"1k";"1KOHM-0603-1/10W-1%";"R0603";"R1, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R31, R32, R33";"1kΩ resistor";"";"";"";"";"Chip Resistor";"";"";"";"";"";"";"Yageo";"RC0603FR-071KL";"";"1608";"0603";"";"0.1W";"";"";"";"";"";"1%";"";"1k";"75V";
"2";"22u";"22UF-0805-25V-20%";"C0805";"C1, C2";"22uF capacitor";"";"";"";"";"Chip Capacitor";"X5R";"";"";"";"";"";"Murata";"GRM21BR61E226ME44L";"";"2012";"0805";"";"";"";"";"";"";"";"20%";"";"22u";"25V";
"2";"5.1k";"5.1KOHM-0603-1/10W-1%";"R0603";"R2, R3";"5.1kΩ resistor";"";"";"";"";"Chip Resistor";"";"";"";"";"";"";"Yageo";"RC0603FR-075K1L";"";"1608";"0603";"";"0.1W";"";"";"";"";"";"1%";"";"5.1k";"75V";
"1";"ATMEGA4809";"ATMEGA4809";"TQFP48";"U2";"ATMEGA4809";"";"";"";"http://ww1.microchip.com/downloads/en/DeviceDoc/40002016A.pdf";"";"";"";"https://www.digikey.com/product-detail/en/microchip-technology/ATMEGA4809-AFR/ATMEGA4809-AFRCT-ND/8540756";"ATMEGA4809-AFRCT-ND";"";"Microchip";"";"ATMEGA4809-AFR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
