Comment,Designator,Footprint,LCSC Part #
1k,D12 J1 J3 J4 R1 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R31 R32 R33,R0603,
5.1k,R2 R3,R0603,
10k,R15 R17 R19 R21 R23 R25 R27 R29,R0603,
22u,C1 C2,C0805,
100R,R16 R18 R20 R22 R24 R26 R28 R30,R0603,
100n,C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15,C0603,
ATMEGA4809,U2,TQFP48,
CH340E_MSOP10,U1,MSOP10,
DMN3404L,Q1 Q2 Q3 Q4 Q5 Q6 Q7 Q8,SOT23,
DNP,Q9,SOT23,
DNP,R34,R0805,
DNP,R35,R0603,
LED_YELLOW,D1 D2 D4 D5 D6 D7 D8 D9 D10 D11,LEDC1608X55N_FLAT-Y,
MF-PSMF035X-2,F1,F0805,
MSP432P401RIZXHR,U3,BGA80,
PINROW-1X5,JP1 JP2 JP3 JP4 JP5 JP6,1X01,
SKQGADE010,S1 S2 S3 S4 S5 S6 S7 S8,TACTILE_SWITCH_SMD_5.2MM,
WS2812B,D3,WS2812B,
