"Qty";"Value";"Device";"Package";"Parts";"Description";"CATEGORY";"COLOR";"CREATED_BY";"DATASHEET";"DESCRIPTION";"DIELECTRIC";"DIGIKEY_PARTNO";"DISTRIBUTOR-LINK";"DISTRIBUTOR-PN";"LCSC";"MANUFACTURER";"MF";"MPN";"OPERATING_TEMP";"PACKAGE";"PACKAGE-IN";"PART_STATUS";"POPULARITY";"POWER";"ROHS_COMPLIANT";"SERIES";"SUB-CATEGORY";"SUB_CATEGORY";"THERMALLOSS";"TOLERANCE";"TP_SIGNAL_NAME";"TYPE";"VALUE";"VOLTAGE";"VOLTAGE_FORWARD";
"1";"";"E6C1209RGBC3UDAM173000";"WL-SFCX_1210";"D1";"WL-SFCW SMD Full-color Chip LED Waterclear";"";"";"";"";"RGB SMD LED";"";"";"";"";"C375572";"";"EKINGLUX";"E6C1209RGBC3UDA";"";"1210";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"QWIIC_CONNECTORJS-1MM";"1X04_1MM_RA";"J1, J2";"SMD Header 1MM 4Pin";"";"";"";"";"Header SMD 1MM 4Pin";"";"";"";"";"C145956";"";"BOOMELE";"C145956";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"USB_C2-LAYER";"USB-C-16P";"J4";"USB Type C 16 Pin Connector";"";"";"";"";"USB Type C Female";"";"";"";"";"C2927300";"";"YIYUAN";"YTC-TC16S-23";"";"USB-C 16P";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1.6k";"1.6KOHM-0603-1/10W-1%";"R0603";"R1, R40";"1.6kΩ resistor";"";"";"";"";"Chip Resistor";"";"";"";"";"";"";"Yageo";"RC0603FR-071K6L";"";"1608";"0603";"";"";"0.1W";"";"";"";"";"";"1%";"";"";"1.6k";"75V";"";
"8";"100R";"100OHM-0603-1/10W-1%";"R0603";"R13, R15, R17, R19, R21, R23, R25, R27";"100Ω resistor";"";"";"";"";"Chip Resistor";"";"";"";"";"";"";"Yageo";"RC0603FR-07100RL";"";"1608";"0603";"";"";"0.1W";"";"";"";"";"";"1%";"";"";"100R";"75V";"";
"19";"100n";"100NF-0603-50V-5%";"C0603";"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C20";"100nF capacitor";"";"";"";"";"Chip Capacitor";"X7R";"";"";"";"";"";"Yageo";"CC0603JRX7R9BB104";"";"1606";"0603";"";"";"";"";"";"";"";"";"5%";"";"";"100n";"50V";"";
"17";"10k";"10KOHM-0603-1/10W-1%";"R0603";"R4, R5, R6, R7, R8, R9, R10, R11, R12, R14, R16, R18, R20, R22, R24, R26, R41";"10kΩ resistor";"";"";"";"";"Chip Resistor";"";"";"";"";"";"";"Yageo";"RC0603FR-0710KL";"";"1608";"0603";"";"";"0.1W";"";"";"";"";"";"1%";"";"";"10k";"75V";"";
"11";"1k";"1KOHM-0603-1/10W-1%";"R0603";"R2, R28, R29, R30, R31, R32, R33, R34, R35, R38, R39";"1kΩ resistor";"";"";"";"";"Chip Resistor";"";"";"";"";"";"";"Yageo";"RC0603FR-071KL";"";"1608";"0603";"";"";"0.1W";"";"";"";"";"";"1%";"";"";"1k";"75V";"";
"2";"2.2k";"2.2KOHM-0603-1/10W-1%";"R0603";"R3, R44";"2.2kΩ resistor";"";"";"";"";"Chip Resistor";"";"";"";"";"";"";"Yageo";"RC0603FR-072K2L";"";"1608";"0603";"";"";"0.1W";"";"";"";"";"";"1%";"";"";"2.2k";"75V";"";
"1";"22u";"22UF-0805-25V-20%";"C0805";"C19";"22uF capacitor";"";"";"";"";"Chip Capacitor";"X5R";"";"";"";"";"";"Murata";"GRM21BR61E226ME44L";"";"2012";"0805";"";"";"";"";"";"";"";"";"20%";"";"";"22u";"25V";"";
